CRID,ID,School Name,Street Address,City,State,Quadrant,Grade Level,Region,HS Primary,HS Secondary Feeder,MS Primary,MS Secondary Feeder,MS Tertiary Feeder,# HS Feeders,# MS Feeders,ES Subgroups ,Org. Construction Date,Acreage,Full Use Capacity,2023/24 Official Enroll,2028/29 Projected Enroll,Ethnic Profile,2028/29 Utilization,GSF,VF PRV,Deficiencies,FCI,CS FCI,CS COST/SF,CS PRV,# CRs,AVG CR SF,17-18,18-19,19-20,20-21,21-22,22-23,change '17-'23,change '17-'23,% CRs <700,% SPED CRs <700,Option,Description,Rationale: Condition,Rationale: Capacity,Rationale: Adequacy,Rationale: Site/Size,close,maintain,add,reno,rebuild,NO BOND OPTION,OPTION 3,FMP,"RECS: 
NOTES",STEP I,DRAFT OPTIONS 2/27,STEP II,"STEP I 
CAPACITY",DRAFT OPTIONS 2/27:CAPACITY,NO BOND OPTION COST EST,OPTION 3 COST EST,"STEP I:
COST EST",STEP II: COST EST,NO BOND OPTION:CONFIG,OPTION 3:CONFIG,PHASE I CONFIG,PHASE II Config (if different),Capacity PER COHORT,2028/29 Enroll PER COHORT,"Age >
65 Years","Undersized
Site","Poor
Condition","Inefficient
Capacity","Undersized
Classrooms"
1,301,Adams 301,1002 N. Oliver,Wichita,Kansas,C1,K-5,NE,East,Southeast,Robinson,Coleman,,2,1,,1947,4.86,476,377,359,MajMin,0.754201681,56304,13452047.86,12159330.71,0.9,0.486063151,466.32,26255681.28,20,862.0187497,,,,,,,,,0,,,cannot close both Hyde and Adams; not enough ES capacity.  ,,,,,4,2,1,3,5,consolidate,consolidate,rebuild,highest density of area enrollment,X,consolidate,,500,,844560,844560,32915910,,K-5,K-5,K-5,,83.33333333,59.83333333,,,,,
2,303,Allen 303,1881 S. Elpyco,Wichita,Kansas,C5,K-5,SE,Southeast,,Curtis,,,1,1,SE/East: Allen_Caldwell_Griffith_Jefferson,2003,5.87,608.6,451,452,MajMin,0.742688137,63229,11501084.35,2079679.13,0.18,0.072703497,466.32,29484947.28,25,822.3688497,539,519,494,441,473,472,-67,-0.124304267,0,0,,,,,,,4,5,1,2,3,maintain,maintain,maintain,,,maintain,X,608.6,608.6,2079679.13,2079679.13,,2079679.13,K-5,K-5,K-5,,,,,,,,
3,202,Allison Traditional Magnet 202,221 S. Seneca,Wichita,Kansas,C1,6-8,NW,,,Magnet,,,,,,1919,5.88,800.25,535,496,MajMin,0.619806311,124592,28385515.13,21975787.91,0.77,0.334191417,525.28,65445685.76,31,932.220095,523,531,512,524,560,559,36,0.068833652,0.032258065,,,"Move program into Hadley, larger facility",High FCI: >75%,,,,4,2,1,3,5,maintain,rebuild,maintain,Consolidate in Phase II,,rebuild,X,800.25,1000,21975787.91,,,21975787.91,6-8,6-8,K-5,,,,,,,,
4,909,AMAC 909,,,Kansas,F2,Admin,Admin,,,,,,,,,1957,31,,,,,,316208,65301686.79,40554831.06,0.62,0.303606246,469,148301552,,,,,,,,,,,,,,,,,,,1,2,3,4,5,maintain,maintain,maintain,,,renovate,X,,,40554831.06,40554831.06,,40554831.06,Admin,Admin,Admin,,,,,,,,
5,375,Anderson 375,2945 S. Victoria,Wichita,Kansas,C2,K-5,SW,South,,Mead,,,1,1,,1953,6,652.8,458,387,MajMin,0.592830882,69640,15137694.31,9721687.85,0.64,0.209957241,466.32,32474524.8,26,828.4109763,637,622,593,502,527,472,-165,-0.259026688,0,,,,,,,,4,2,1,3,5,maintain,maintain,renovate,Renovate in Phase II,,renovate,X,653,554.88,9721687.85,9721687.85,,21433186.37,K-5,K-5,K-5,,,,,,,,
6,372,Beech 372,1830 S. Cypress,Wichita,Kansas,C4,K-5,SE,Southeast,,Curtis,,,1,1,,1984,10.8,622.2,471,489,MajMin,0.785920926,70819,15392749.65,4710173.13,0.31,0.167356605,466.32,33024316.08,25,871.6027741,571,581,575,493,486,481,-90,-0.157618214,0,0,,,,,,,4,5,1,2,3,maintain,maintain,maintain,,,maintain,X,622.2,622.2,4710173.13,4710173.13,,4710173.13,K-5,K-5,K-5,,,,,,,,
7,381,Benton 381,338 S. Woodchuck Ln.,Wichita,Kansas,C3,K-5,NW,Northwest,,Wilbur,,,1,1,NW: Benton_Kensler_McCollom_Peterson,1957,14.4,442,293,277,MajWhite,0.626696833,59485,12584682.92,4983959.65,0.4,0.3284224,466.32,27739045.2,18,923.7632939,321,313,326,293,297,292,-29,-0.090342679,0,0,Alt,,,,,,2,5,1,4,3,maintain,maintain,add,"Build a 300 student MS addition with cafeteria and gym in Phase II, K-8",,maintain,X,442,442,4983959.65,4983959.65,,4983959.65,K-5,K-5,K-5,K-8,,,,,,,
8,305,Black Traditional Magnet 305,1045 High,Wichita,Kansas,A1,K-5,NW,North,,Hadley,,,1,1,North: Black_OK,1954,6.39,499.8,280,255,MajMin,0.510204082,47258,11885212.3,8353754.28,0.7,0.289663436,466.32,22037350.56,21,809.0985857,445,411,378,358,333,320,-125,-0.280898876,0,,,,,,,,5,2,1,3,4,maintain,maintain,rebuild,,X,rebuild,,500,499.8,8353754.28,8353754.28,32915910,,K-5,K-5,K-5,,,,,,,,
9,368,Bostic Traditional Magnet 368,8103 E. Gilbert,Wichita,Kansas,C3,K-5,SE,,,,,,,,SE/Magnet: Bostic_Clark,1956,6,394.4,305,308,MajMin,0.780933063,44507,10407319.23,4988546.97,0.48,0.25246454,466.32,20754504.24,16,780.8928957,271,265,277,270,279,293,22,0.081180812,0.4375,0,,Redistrict to HS feeder,Moderate FCI: 50%,,~1/2 CRs <700SF,,2,5,1,4,3,maintain,maintain,rebuild,Rebuild Phase II.,,add,X,394.4,550,4988546.97,4988546.97,,21818546.06,K-5,K-5,K-5,,,,,,,,
10,210,Brooks STEM 210,3802 E. 27th St. N.,Wichita,Kansas,A2,6-8,NE,,,Magnet,,,,,,1956,18.8,957.75,529,503,MajMin,0.525189246,139238,33788468.93,17504268.02,0.52,0.239081929,525.28,73138936.64,34,934.3260585,547,568,567,525,532,533,-14,-0.02559415,0.382352941,1,,,Moderate FCI: 50%,,62% CRs & 100% SPED CRs <700SF,,5,2,1,3,4,maintain,maintain,maintain,,,add,X,957.75,1200,17504268.02,17504268.02,,17504268.02,K-8,K-8,6-8,,,,,,,,
